"MFO","VO2max","F0","Pmax","Sprinting (> 25 km/h)","High Intensity Running (> 15 km/h)","Total Distance","ID"
0.766,53.429,6.8,16.035,0.996067961058081,-0.238252752170417,-1.08974040657421,"2HC"
0.442,55.845,7.72,14.83,-1.15411206067324,-0.984575155617505,-0.199310997462977,"SB0"
0.65,57.06,8.235,17.84,-0.618620969994204,-0.399702770267436,0.49671125713264,"ZEZ"
0.46,54.524,7.61,17.66,-0.708027735616807,-0.672629094050721,-0.220525568698164,"C1P"
0.703,58.858,8.955,20.61,0.834634449511635,-0.0454975379762583,-1.2410812103396,"8GR"
0.533,56.519,7.84,17.26,1.0009707703152,0.39238455673811,0.0243717475142586,"601"
0.558,60.615,6.745,15.895,0.499975531841434,-0.636561178272117,-0.761616531685929,"Q0L"
0.653,64.481,7.605,16.89,0.0594076161683635,-0.549965662820234,-0.127514060691177,"CPS"
0.875,64.557,6.925,15.34,0.0301559181321831,0.848601292583221,0.622332600970757,"ZSY"
0.65,61.825,7.235,16.755,-0.686260866939466,0.275312312860436,0.683841023467196,"IP6"
0.551,59.955,10.64,24.13,1.07907833501934,0.822265591313153,0.0131556414670506,"VHF"
0.202,52.411,7.395,17.035,1.07687109606608,0.660368501194257,-0.0231635775635139,"1XB"
0.524,55.546,11.06,22.315,-0.604993175726016,-1.1606438382298,-1.05240671186032,"LVH"
0.672,53.37,7.045,16.675,0.218209113135799,-0.0514342857078115,-0.301561162924368,"0EK"
0.733,59.044,7.68,16.445,-0.174065289547581,0.77756829187367,0.822658086516044,"FS2"
0.967,61.983,8.15,17.31,-1.04429702331669,-0.480822426170179,0.521266704906094,"TWU"
0.723,51.37,7.97,19.375,-0.176672445713153,-0.688853849434282,-0.647955026630569,"QQU"
0.654,59.476,8.65,19.3,0.534324639018161,0.268671535879269,0.193167736274449,"IWW"
0.689,53.804,8.715,18.46,-0.900257909403412,0.130042351286144,0.0851391419949006,"7HP"
0.59,51.466,8.205,17.375,-0.107485426136504,0.0550722903859366,-0.240374279737471,"DEO"
0.581,56.14,7.5,16.09,0.254428770285944,0.226657357400519,-0.109477742842709,"373"
0.54,61.151,7.36,17.19,-0.13297908722187,-0.544267914077005,-0.255217331403078,"TT6"
0.737,57.561,8.63,19.32,0.738764309058832,1.4931882834444,1.18121279052472,"SBS"
0.634,57.346,8.315,18.12,-0.746780517491324,-0.968299867750918,-1.04044100092333,"SAE"
0.499,56.923,7.79,17.16,0.676044244990099,0.497516785438817,0.406832687290123,"C2R"
0.418,55.875,7.51,18.23,0.133590450752856,-0.143681385266585,-0.0258894251566957,"VMG"
0.834,55.903,8.36,19.635,1.10695914458955,0.974847724971836,0.315049750099265,"ZVE"
0.568,50.981,7.47,16.38,-0.250040455763901,-0.19988736549424,-0.360878281687642,"E5N"
0.905,52.143,6.13,14.89,0.328661550905875,-0.302647227161708,-0.624699084834354,"580"
0.969,59.232,8.735,18.035,0.792864941888149,1.15457180644195,0.568079637339003,"YYK"
0.646,56.657,7.96,17.545,0.0464136795509774,0.812668827549714,1.08804864481124,"BM5"
0.693,66.864,7.635,16.335,-0.180507907125052,-0.570726101354538,-0.157535556676542,"69T"
0.779,55.584,8.34,21.185,0.448123602872734,-0.29939429427651,-0.369174264563769,"N9R"
0.653,54.043,8.2,17.885,0.0674210197731263,-0.617682814172338,-0.763834425188973,"RPO"
0.569,57.561,7.15,13.99,-0.842926599412411,-1.06766368543409,0.70161283788106,"FGD"
1.098,52.433,8.24,16.585,-0.393048064952108,0.111188488158379,0.0082389813321518,"TGA"
0.747,56.828,9.565,21.51,-0.42862508934046,0.605177318067601,0.916941344770928,"EVI"
0.518,58.357,7.69,15.17,-0.406474431844069,0.359614105576595,0.156854540080564,"TEC"
0.884,55.714,6.12,14.9,0.409071876629776,0.888220614318727,0.836193797323308,"9A9"
0.591,52.03,7.88,15.675,-0.553711446769152,-0.538836196404329,-0.151400977889152,"GWB"
0.489,64.695,6.85,16.225,-0.905175367573174,-0.517526957262811,0.351233845028533,"AJE"
